geoid,namelsad,aland,awater,totpop2020,hhpop2020,gqpop2020,hh2020,avhhsize20,hu2020,vacrate202,hislat2020,whitenh202,blacknh202,ainh2020,asnh2020,hipinh2020,othernh202,twoplsnh20,,
42101000102,Census Tract 1.02,444406,0,3511,3488,23,2237,1.56,2468,9.4,208,2719,132,6,286,1,25,134,,1603797
42101000200,Census Tract 2,386232,0,3367,3065,302,1474,2.08,1644,10.3,125,784,251,7,2068,0,15,117,,
42101000300,Census Tract 3,546267,22673,4501,4164,337,2533,1.64,2723,7,279,3100,300,0,641,3,14,164,,
42101023100,Census Tract 231,732749,1270,1285,1285,0,549,2.34,575,4.5,55,1086,48,0,41,0,6,49,,
42101000401,Census Tract 4.01,216838,15884,3123,3066,57,2160,1.42,2307,6.4,167,1754,249,5,796,0,14,138,,
42101000403,Census Tract 4.03,139616,0,1139,1135,4,750,1.51,844,11.1,67,787,78,1,169,0,0,37,,
42101000404,Census Tract 4.04,164084,0,3822,3812,10,2681,1.42,2920,8.2,161,2988,119,4,432,0,11,107,,
42101024000,Census Tract 240,617080,0,3808,3774,34,1913,1.97,2165,11.6,205,992,2240,6,160,6,23,176,,
42101024100,Census Tract 241,407855,0,1343,1160,183,770,1.51,813,5.3,58,251,945,5,16,0,6,62,,
42101011700,Census Tract 117,654025,0,1893,1017,876,364,2.79,425,14.4,91,854,613,12,251,2,12,58,,
42101003200,Census Tract 32,491790,0,4511,4485,26,1889,2.37,2362,20,388,987,2727,15,170,1,45,178,,
42101033900,Census Tract 339,1140699,0,3106,3095,11,1331,2.33,1410,5.6,415,1942,490,0,151,0,19,89,,
42101034000,Census Tract 340,763894,729,2971,2920,51,1081,2.7,1107,2.3,330,2015,204,2,281,0,28,111,,
42101034502,Census Tract 345.02,1021734,0,5928,5911,17,2569,2.3,2645,2.9,407,3056,1148,10,920,0,39,348,,
42101003800,Census Tract 38,1089240,0,3820,3820,0,1652,2.31,1733,4.7,166,3225,69,0,260,1,13,86,,
42101003901,Census Tract 39.01,420397,0,6219,6163,56,2772,2.22,3024,8.3,526,3899,470,4,1082,0,34,204,,
42101024200,Census Tract 242,532060,0,4113,4080,33,1778,2.29,1975,10,195,508,3174,5,23,2,68,138,,
42101024800,Census Tract 248,319262,0,1912,1912,0,712,2.69,789,9.8,63,40,1731,3,0,0,7,68,,
42101004103,Census Tract 41.03,190517,0,4273,4273,0,1369,3.12,1472,7,1209,1080,213,3,1630,0,15,123,,
42101006200,Census Tract 62,509635,0,4498,4498,0,1478,3.04,1640,9.9,210,214,3718,2,230,0,18,106,,
42101006300,Census Tract 63,555597,0,4022,3972,50,1442,2.75,1693,14.8,365,134,2884,4,496,0,4,135,,
42101006600,Census Tract 66,651243,0,3592,3551,41,1413,2.51,1616,12.6,270,88,2738,7,353,3,18,115,,
42101006700,Census Tract 67,1001468,0,7450,7445,5,2638,2.82,2952,10.6,263,443,5741,16,711,0,35,241,,
42101024900,Census Tract 249,325196,0,3412,3388,24,1230,2.75,1385,11.2,129,49,3077,20,24,0,27,86,,
42101025700,Census Tract 257,746915,0,3456,3452,4,1934,1.78,2115,8.6,182,1798,1133,9,178,1,16,139,,
42101007000,Census Tract 70,469586,0,3892,3892,0,1480,2.63,1715,13.7,140,72,3502,16,24,6,20,112,,
42101007101,Census Tract 71.01,253257,0,2437,2400,37,887,2.71,1069,17,68,121,2121,6,34,0,20,67,,
42101007102,Census Tract 71.02,415761,0,4674,4674,0,1782,2.62,2032,12.3,147,114,4202,9,18,0,23,161,,
42101007200,Census Tract 72,502743,0,4502,4494,8,1772,2.54,2044,13.3,121,120,4067,12,36,0,32,114,,
42101010100,Census Tract 101,601423,0,5640,5598,42,2349,2.38,2700,13,207,82,5113,12,45,4,37,140,,
42101010200,Census Tract 102,360619,0,3147,3147,0,1278,2.46,1493,14.4,95,47,2894,3,8,0,11,89,,
42101029400,Census Tract 294,647650,2470,3308,3235,73,1125,2.88,1301,13.5,1292,531,1260,10,69,0,21,125,,
42101029800,Census Tract 298,649154,0,4847,4843,4,1850,2.62,1981,6.6,1802,931,1813,14,106,3,27,151,,
42101010300,Census Tract 103,281275,0,2572,2572,0,1058,2.43,1253,15.6,90,59,2314,5,19,0,13,72,,
42101010400,Census Tract 104,473022,0,3573,3341,232,1355,2.47,1611,15.9,123,159,3126,6,26,0,14,119,,
42101007300,Census Tract 73,386471,0,3207,3207,0,1343,2.39,1596,15.9,153,570,2272,2,70,0,15,125,,
42101008101,Census Tract 81.01,243881,0,2715,2715,0,1026,2.65,1214,15.5,116,103,2350,9,20,0,20,97,,
42101008102,Census Tract 81.02,362526,0,5034,5034,0,1864,2.7,2107,11.5,143,135,4473,17,52,4,33,177,,
42101011400,Census Tract 114,972947,0,6320,6285,35,2659,2.36,2989,11,157,141,5720,16,48,0,23,215,,
42101031300,Census Tract 313,688086,0,7416,7413,3,2332,3.18,2422,3.7,2145,1286,1660,20,1703,6,184,412,,
42101031401,Census Tract 314.01,594849,0,7456,7444,12,2183,3.41,2271,3.9,2216,1388,1226,13,1839,2,342,430,,
42101031800,Census Tract 318,509349,0,4093,4093,0,1496,2.74,1553,3.7,1508,635,1507,9,242,2,48,142,,
42101011800,Census Tract 118,914502,0,5491,5491,0,2197,2.5,2408,8.8,165,213,4892,19,28,2,23,149,,
42101012501,Census Tract 125.01,295431,0,2935,2674,261,1763,1.52,1947,9.5,219,1657,338,0,555,10,23,133,,
42101008500,Census Tract 85,621445,0,6773,6773,0,2846,2.38,3329,14.5,239,694,5285,30,231,8,39,247,,
42101012502,Census Tract 125.02,569430,32791,5141,5000,141,3207,1.56,3440,6.8,360,3169,562,5,812,0,42,191,,
42101008601,Census Tract 86.01,252482,0,3212,3191,21,1588,2.01,1757,9.6,243,1562,815,6,388,0,37,161,,
42101000500,Census Tract 5,428760,0,3614,2482,1132,1704,1.46,1864,8.6,340,1651,829,2,693,0,12,87,,
42101008602,Census Tract 86.02,369141,0,3452,3416,36,1710,2,1879,9,222,859,1914,5,281,0,9,162,,
42101013100,Census Tract 131,322156,0,1709,1694,15,757,2.24,897,15.6,138,417,932,2,141,0,9,70,,
42101000600,Census Tract 6,172652,0,2317,2313,4,1634,1.42,1863,12.3,165,1558,108,4,332,0,29,121,,
42101000701,Census Tract 7.01,140499,0,2722,2672,50,1885,1.42,2208,14.6,160,1904,161,4,398,1,10,84,,
42101000702,Census Tract 7.02,106191,7087,2012,1996,16,1445,1.38,1630,11.3,144,1308,87,1,394,0,8,70,,
42101000801,Census Tract 8.01,99957,12755,1748,1748,0,1053,1.66,1195,11.9,78,1380,58,6,146,0,13,67,,
42101000803,Census Tract 8.03,152822,0,4463,4457,6,3053,1.46,3520,13.3,266,3521,112,2,417,0,39,106,,
42101000805,Census Tract 8.05,72237,0,2587,2461,126,1777,1.38,2110,15.8,167,1903,105,2,271,0,52,87,,
42101000806,Census Tract 8.06,73208,0,2702,2692,10,1843,1.46,2065,10.8,150,2066,89,3,275,0,15,104,,
42101013601,Census Tract 136.01,175316,0,2911,2911,0,1563,1.86,1656,5.6,139,2393,75,0,160,0,16,128,,
42101014400,Census Tract 144,609443,0,5111,5038,73,2526,1.99,2865,11.8,920,3018,595,5,329,3,10,231,,
42101000901,Census Tract 9.01,105511,0,2409,2326,83,1805,1.29,1930,6.5,200,1544,297,3,263,0,20,82,,
42101000902,Census Tract 9.02,155167,0,2842,2334,508,1541,1.51,1668,7.6,97,1822,146,5,668,0,5,99,,
42101008701,Census Tract 87.01,259543,0,4347,4347,0,2131,2.04,2313,7.9,314,2183,550,4,1040,0,39,217,,
42101008702,Census Tract 87.02,283544,0,3441,3358,83,1797,1.87,1921,6.5,216,1644,323,0,1048,0,41,169,,
42101008801,Census Tract 88.01,184674,0,1600,705,895,422,1.67,516,18.2,136,570,137,0,689,2,10,56,,
42101001001,Census Tract 10.01,229399,0,2993,2958,35,1791,1.65,1935,7.4,93,2536,70,3,191,0,14,86,,
42101001002,Census Tract 10.02,471655,0,4651,4340,311,2517,1.72,2892,13,250,3701,263,5,271,0,17,144,,
42101001101,Census Tract 11.01,174011,0,4297,3585,712,2293,1.56,2563,10.5,289,2811,601,10,339,0,48,199,,
42101001102,Census Tract 11.02,204063,0,2800,2792,8,1706,1.64,1823,6.4,198,2121,105,0,237,3,19,117,,
42101009400,Census Tract 94,366714,0,3766,3766,0,1722,2.19,1990,13.5,115,58,3391,1,58,0,17,126,,
42101009500,Census Tract 95,319094,0,3289,3289,0,1259,2.61,1544,18.5,72,17,3047,18,14,0,16,105,,
42101014500,Census Tract 145,321465,0,2718,2049,669,894,2.29,968,7.6,433,640,1284,20,261,2,19,59,,
42101014600,Census Tract 146,445048,0,7477,3510,3967,1505,2.33,1632,7.8,655,2810,2541,13,1149,86,75,148,,
42101009600,Census Tract 96,405273,0,4275,4275,0,1730,2.47,2060,16,113,69,3863,5,58,0,12,155,,
42101009801,Census Tract 98.01,297978,0,2206,2206,0,944,2.34,991,4.7,61,240,1782,0,48,0,6,69,,
42101001201,Census Tract 12.01,327555,30728,3953,3953,0,2083,1.9,2279,8.6,222,3143,76,4,288,0,30,190,,
42101001203,Census Tract 12.03,102414,0,1827,1811,16,1139,1.59,1237,7.9,94,1449,48,0,155,0,11,70,,
